row_id,question_group_id,question,original_question,bloom_level,legacy_bloom_level,source_document,source_paragraph,quality_flags,split
pone-row-6b4028a80ab9368d,pone-question-2b711f579bbe08f9,"Analyze a work of art in terms of form, color and texture.","Analyze a work of art in terms of form, color and texture.",analyze,analysis,pone.0230442.s001.docx,86,none,train
pone-row-82b9bba209d827d9,pone-question-364237ad758ff937,"Trace the contents of matrix from the following statements int matrix[3][2];int j, k;for (j = 0; j < 3; j++)for (k =h 0; k < 2; k++)matrik[j][k] = j + k;","Trace the contents of matrix from the following statements int matrix[3][2];int j, k;for (j = 0; j < 3; j++)for (k =h 0; k < 2; k++)matrik[j][k] = j + k;",analyze,analysis,pone.0230442.s001.docx,87,missing_context,test
pone-row-1744a6d299d5d7ed,pone-question-0b7ddf107e881796,Trace the value of alpha after the following code executes. int alpha[5];int j;alpha[0] = 5;for (j = 1; j < 5; j++){if(j % 2 == 0)alpha[j] = alpha[j – 1] + 2;else alpha[j] = alpha[j – 1] + 3;},Trace the value of alpha after the following code executes. int alpha[5];int j;alpha[0] = 5;for (j = 1; j < 5; j++){if(j % 2 == 0)alpha[j] = alpha[j – 1] + 2;else alpha[j] = alpha[j – 1] + 3;},analyze,analysis,pone.0230442.s001.docx,88,missing_context,train
pone-row-ab34eaf083dd981d,pone-question-81f808af85e3a9cd,What distinctions can be made about...and...?,What distinctions can be made about...and...?,analyze,analysis,pone.0230442.s001.docx,89,placeholder,train
pone-row-59cc0ccf4d98cf52,pone-question-5763fdad424a08de,What is the relationship between probability and statistical analysis?,What is the relationship between probability and statistical analysis?,analyze,analysis,pone.0230442.s001.docx,90,none,train
pone-row-5a42b3691f76de15,pone-question-380c649b6858fd4e,What is the analysis of ______________?,What is the analysis of ______________?,analyze,analysis,pone.0230442.s001.docx,91,placeholder,test
pone-row-571a79aa9d2a680d,pone-question-2fe65a0a60aff283,Draw a diagram to show the memory configuration after the following statements ....,Draw a diagram to show the memory configuration after the following statements .... ,analyze,analysis,pone.0230442.s001.docx,92,placeholder|missing_context,train
pone-row-56ddb9b42eff7489,pone-question-3ad82eb033fb4547,What has the author used to create this effect,What has the author used to create this effect,analyze,analysis,pone.0230442.s001.docx,93,none,test
pone-row-fd29addb0ca9840a,pone-question-dd2262807d37e396,Compare and contrast the two items and produce a summary of their similarities and differences,Compare and contrast the two items and produce a summary of their similarities and differences,analyze,analysis,pone.0230442.s001.docx,94,none,train
pone-row-94689ba315f57e88,pone-question-96a8e4063b7a6f9a,Develop a set of criteria for distinguishing between a good and bad example of this.,Develop a set of criteria for distinguishing between a good and bad example of this.,analyze,analysis,pone.0230442.s001.docx,95,none,train
pone-row-d619e1272600611e,pone-question-9eb7d86e4c68b897,What evidence can you find to suggest that people should be regarded as the most important resource of an organisation?,What evidence can you find to suggest that people should be regarded as the most important resource of an organisation?,analyze,analysis,pone.0230442.s001.docx,96,none,validation
pone-row-b2a62beeb8cb65a4,pone-question-e6900cb0cdbd69a2,"While the futures market is too risky for most investors, this risk creates the opportunities for large returns. Discuss.","While the futures market is too risky for most investors, this risk creates the opportunities for large returns. Discuss.",analyze,analysis,pone.0230442.s001.docx,97,none,train
pone-row-5a09bac3ec514647,pone-question-56dc2f2c733bc7ec,What evidence can you list for...,What evidence can you list for...,analyze,analysis,pone.0230442.s001.docx,98,placeholder,train
pone-row-605ac2d60d26704a,pone-question-1e1bbb8b422a3a74,Create several different strategies to solve a mathematical problem.,Create several different strategies to solve a mathematical problem. ,create,synthesis,pone.0230442.s001.docx,101,none,train
pone-row-beb2f8bd98544505,pone-question-ceeb6adbf92d075c,Can you propose an alternative plan to . . . ?,Can you propose an alternative plan to . . . ?,create,synthesis,pone.0230442.s001.docx,102,none,train
pone-row-7e4b9209de707dfe,pone-question-f044596a7e381be6,Can you develop method to handle the following case . . . ?,Can you develop method to handle the following case . . . ? ,create,synthesis,pone.0230442.s001.docx,103,missing_context,train
pone-row-aedf674e28557f6a,pone-question-e33c0e16e4993e36,Can you propose a model that would change . . . ?,Can you propose a model that would change . . . ?,create,synthesis,pone.0230442.s001.docx,104,none,validation
pone-row-94f1ecb88be17678,pone-question-42cd8cf4d4d890f9,Can you think of an original way for collect and develop the . . . ?,Can you think of an original way for collect and develop the . . . ?,create,synthesis,pone.0230442.s001.docx,105,none,train
pone-row-1da74c507bb0bce0,pone-question-329e39de66e48bb7,Develop a menu for a new healthy foods restaurant,Develop a menu for a new healthy foods restaurant,create,synthesis,pone.0230442.s001.docx,106,none,train
pone-row-d14e387107b4d3b4,pone-question-137aa3270bd000bc,Design a scientific study to test the effect of different kinds of music on hens’ egg production.,Design a scientific study to test the effect of different kinds of music on hens’ egg production.,create,synthesis,pone.0230442.s001.docx,107,none,train
pone-row-f4d06b2ab4843310,pone-question-1177ea28179d0d77,Design a building to house your study.,Design a building to house your study.,create,synthesis,pone.0230442.s001.docx,108,none,train
pone-row-772d62a634836371,pone-question-85591355555b761c,"Design a record, book or magazine cover for...","Design a record, book or magazine cover for...",create,synthesis,pone.0230442.s001.docx,109,placeholder,test
pone-row-05b58c0648788a58,pone-question-a5c40bfd69c96921,Design a new monetary system or an experiment for establishing.,Design a new monetary system or an experiment for establishing.,create,synthesis,pone.0230442.s001.docx,110,none,test
pone-row-0cc31a0aa58f5f26,pone-question-141404606e0a5cf7,Create several scientific hypotheses to ...,Create several scientific hypotheses to …,create,synthesis,pone.0230442.s001.docx,111,placeholder,train
pone-row-933bc1a8eb24c92b,pone-question-7eb5db9479b67aad,Propose an alternative way to solve ...,Propose an alternative way to solve …  ,create,synthesis,pone.0230442.s001.docx,112,placeholder,train
pone-row-bd83335bfa722dda,pone-question-188334d643fd8451,Propose a set of alternatives for reducing dependence on fossil fuels that address both economic and environmental concerns.,Propose a set of alternatives for reducing dependence on fossil fuels that address both economic and environmental concerns.,create,synthesis,pone.0230442.s001.docx,113,none,train
pone-row-cfa88ac62f0e033d,pone-question-928feb3b8469b37d,Rewrite the story from an animal’s point of view.,Rewrite the story from an animal’s point of view.,create,synthesis,pone.0230442.s001.docx,114,missing_context,test
pone-row-faae934a68873fbc,pone-question-ede78f4e1c67171c,"Rewrite the story briefly, but change someone or something in it. (For example, substitute a dog for a wolf in The Three Little Pigs).","Rewrite the story briefly, but change someone or something in it. (For example, substitute a dog for a wolf in The Three Little Pigs).",create,synthesis,pone.0230442.s001.docx,115,missing_context,train
pone-row-6786b595af20d3b1,pone-question-b98300b3d5266cbd,"Use your imagination to create a picture about the story. Then, add one new thing that was not in the story.","Use your imagination to create a picture about the story. Then, add one new thing that was not in the story.",create,synthesis,pone.0230442.s001.docx,116,missing_context,validation
pone-row-7a3035954a0484d5,pone-question-41fb9c58cf32c2e7,What hypotheses can you develop based on the data ? Why ?,What hypotheses can you develop based on the data ? Why ?,create,synthesis,pone.0230442.s001.docx,117,none,train
pone-row-4d2b163ca908714c,pone-question-5890dacbdb408928,Write a journal from the point of view of mountaineer.,Write a journal from the point of view of mountaineer.,create,synthesis,pone.0230442.s001.docx,118,none,validation
pone-row-93a08e1c7a545bfd,pone-question-965c4c9aa074caf7,Write about your feelings in relation to...,Write about your feelings in relation to...,create,synthesis,pone.0230442.s001.docx,119,placeholder,test
pone-row-649c488b5a304ca9,pone-question-aa10fa970e2dc943,"Write a TV show play, puppet show, role play, song or pantomime about..","Write a TV show play, puppet show, role play, song or pantomime about..",create,synthesis,pone.0230442.s001.docx,120,none,train
pone-row-6bb191fccc5576b1,pone-question-2c07a39a780ac6d3,Write a poem about the story.,Write a poem about the story.,create,synthesis,pone.0230442.s001.docx,121,missing_context,train
pone-row-9d959d327a0519da,pone-question-8d95f155f20288f9,Write 5 new titles for the story that would give a good idea of what it was about,Write 5 new titles for the story that would give a good idea of what it was about,create,synthesis,pone.0230442.s001.docx,122,missing_context,test
pone-row-056cc004364bd851,pone-question-c5e99513e9ac1401,Write another ending to the story that is different from the author’s ending.,Write another ending to the story that is different from the author’s ending.,create,synthesis,pone.0230442.s001.docx,123,missing_context,test
pone-row-ede027735a7c4e56,pone-question-801ce461dfab5aa3,Write a JAVA program to show the Overloading concept,Write a JAVA program to show the Overloading concept,create,synthesis,pone.0230442.s001.docx,124,none,train
pone-row-fbee092417335ecb,pone-question-97982326c54c1887,Write a program that uses nested loops to print the following output:,Write a program that uses nested loops to print the following output:,create,synthesis,pone.0230442.s001.docx,125,missing_context,test
pone-row-0ed67fba3f136fd1,pone-question-ff1fc0c7870ec700,"Write a program to calculate the SQRT for Array elements, you may use the Math class function (sqrt), the Array should include 5 Integer elements. The output should be the array elements along with their SQRT value.","Write a program to calculate the SQRT for Array elements, you may use the Math class function (sqrt), the Array should include 5 Integer elements. The output should be the array elements along with their SQRT value.",create,synthesis,pone.0230442.s001.docx,126,none,train
pone-row-c1390bb8c4c9eef1,pone-question-a5892df93a97e96c,Create an advertising campaign,Create an advertising campaign,create,synthesis,pone.0230442.s001.docx,127,none,validation
pone-row-62c14ab28e4010e2,pone-question-10e51c1fea1665b1,Construct an alternative way to ...,Construct an alternative way to ...,create,synthesis,pone.0230442.s001.docx,128,placeholder,train
pone-row-94feac8aad2f3978,pone-question-d5e75473d9007fa8,Devise a different way of using X,Devise a different way of using X,create,synthesis,pone.0230442.s001.docx,129,none,test
pone-row-1297f2206f39607b,pone-question-e3c55d562271eb03,Merge the different ideas into a single solution.,Merge the different ideas into a single solution.,create,synthesis,pone.0230442.s001.docx,130,none,train
pone-row-00e207fb7be286f0,pone-question-e1e7ab85e5375fb9,Can you defend your position about ... ?,Can you defend your position about ... ?,evaluate,evaluation,pone.0230442.s001.docx,133,placeholder,train
pone-row-8f864460a3e06920,pone-question-57496cb5568ed008,Can you assess the value or importance of . . . ?,Can you assess the value or importance of . . . ?,evaluate,evaluation,pone.0230442.s001.docx,134,none,train
pone-row-720e227828a44cb6,pone-question-d0cbd434b4ceb8be,What limitation does X have?,What limitation does X have? ,evaluate,evaluation,pone.0230442.s001.docx,135,none,train
pone-row-89603d339829c3a4,pone-question-7c014c5ee9b14821,Develop a proof ... and justify each step ...,Develop a proof ... and justify each step ... ,evaluate,evaluation,pone.0230442.s001.docx,136,placeholder,train
pone-row-67fb0f6aa187ef91,pone-question-d1843235de1e7486,"""Don’t use public instance variables"" is defensive programming techniques. discuss why it is good advice?","""Don’t use public instance variables"" is defensive programming techniques. discuss why it is good advice?",evaluate,evaluation,pone.0230442.s001.docx,137,none,train
pone-row-2e922c28e9a35c5f,pone-question-00464103a8710785,How would you justify . . . ?,How would you justify . . . ?,evaluate,evaluation,pone.0230442.s001.docx,138,none,train
pone-row-c0b350841faed3b1,pone-question-eb2347be62fe43a6,Judge the value of... What do you think about...?,Judge the value of... What do you think about...?,evaluate,evaluation,pone.0230442.s001.docx,139,placeholder,train
pone-row-00c07b370187a882,pone-question-7d98cf5d0e46ba0b,Judge how well a project meets the criteria of a rubric.,Judge how well a project meets the criteria of a rubric.,evaluate,evaluation,pone.0230442.s001.docx,140,none,train
pone-row-19b14321de40400d,pone-question-4a9b11b7864927c7,Judge the validity of arguments for and against astrology,Judge the validity of arguments for and against astrology,evaluate,evaluation,pone.0230442.s001.docx,141,none,train
pone-row-9a5d50cd6d609514,pone-question-0dc075c97fb5f57b,Justify the concept of inheritance and give the sample of code to illustrate your answer.,Justify the concept of inheritance and give the sample of code to illustrate your answer.,evaluate,evaluation,pone.0230442.s001.docx,142,none,test
pone-row-ad8e925898772ec9,pone-question-84a4bf6dfee51a05,Justify the object oriented programming concept,Justify the object oriented programming concept,evaluate,evaluation,pone.0230442.s001.docx,143,none,test
pone-row-9b745f0a5a0f9cdf,pone-question-ffa6eb89f4ba4d22,"Prepare a case to present, and evaluate your view about ...","Prepare a case to present, and evaluate your view about ...",evaluate,evaluation,pone.0230442.s001.docx,144,placeholder,train
pone-row-e784ddc21d16761a,pone-question-be9d9dd5ccd1854c,Prepare a list of criteria to judge ... Evaluate expressions,Prepare a list of criteria to judge ... Evaluate expressions,evaluate,evaluation,pone.0230442.s001.docx,145,placeholder,train
pone-row-d5fe3141f94063a0,pone-question-d0567321f7d4f217,Rate the following recommendations and set the priority _____.,Rate the following recommendations and set the priority _____.,evaluate,evaluation,pone.0230442.s001.docx,146,placeholder|missing_context,validation
pone-row-ed77e7aed6a23d64,pone-question-f729d57aa0c4072e,What data was used to evaluate ____________?,What data was used to evaluate ____________?,evaluate,evaluation,pone.0230442.s001.docx,147,placeholder,train
pone-row-3d810b933a7eab3b,pone-question-1bbeafc123f4d8b6,What judgments can you make about...?,What judgments can you make about...? ,evaluate,evaluation,pone.0230442.s001.docx,148,placeholder,train
pone-row-1bb70e29b55521bd,pone-question-cd3c63246a384751,What criteria would you use to assess...?,What criteria would you use to assess...? ,evaluate,evaluation,pone.0230442.s001.docx,149,placeholder|exact_duplicate,train
pone-row-876f19a71aa5cd24,pone-question-fa1c0b78c5a83d06,What criteria would you use to evaluate if your answer is correct?,What criteria would you use to evaluate if your answer is correct?,evaluate,evaluation,pone.0230442.s001.docx,150,none,train
pone-row-82730dc154eb7dc7,pone-question-b463d1d75865e86d,What would you cite to defend the actions . . . ?,What would you cite to defend the actions . . . ? ,evaluate,evaluation,pone.0230442.s001.docx,151,none,test
pone-row-b5f3eda28ad3c267,pone-question-b50f4a22ad658734,Outline how class ArrayList could be implemented using an array,Outline how class ArrayList could be implemented using an array,evaluate,evaluation,pone.0230442.s001.docx,152,none,test
pone-row-f8b994fdb5e74be8,pone-question-e0e293078dc3caa4,Can you justify the decisions you have made ?,Can you justify the decisions you have made ? ,evaluate,evaluation,pone.0230442.s001.docx,153,none,train
pone-row-4594c706bafe268a,pone-question-f1ccb0423379bcc8,How would you rank the items given the criteria ?,How would you rank the items given the criteria ?,evaluate,evaluation,pone.0230442.s001.docx,154,none,train
