row_id,question_group_id,question,original_question,bloom_level,legacy_bloom_level,source_document,source_paragraph,quality_flags,split,review_status,review_notes
pone-row-6cbaf093f0fdc086,pone-question-37c16675a7df2c3b,Draw a diagram explaining how air pressure affects the weather.,Draw a diagram explaining how air pressure affects the weather.,understand,comprehension,pone.0230442.s001.docx,33,missing_context,train,needs_review,
pone-row-1c2c6f9a5e759967,pone-question-eef8dc38233a9a80,Explain what is happening in the first picture of the story.,Explain what is happening in the first picture of the story.,understand,comprehension,pone.0230442.s001.docx,35,missing_context,test,needs_review,
pone-row-c1ee4fd16ebbf712,pone-question-4a860c66a79210f9,Explain why the story has the title that it does.,Explain why the story has the title that it does.,understand,comprehension,pone.0230442.s001.docx,36,missing_context,train,needs_review,
pone-row-1cafc1d41b0f768d,pone-question-c89c69a3849489e6,Explain what is happening...,Explain what is happening...,understand,comprehension,pone.0230442.s001.docx,38,placeholder,train,needs_review,
pone-row-e5c2e1a9b1a582c8,pone-question-eceb20444945baa5,How would you explain...?,How would you explain...?,understand,comprehension,pone.0230442.s001.docx,41,placeholder,train,needs_review,
pone-row-e154613fda79085b,pone-question-535d1cbfdce6e038,How would you express ________________?,How would you express ________________?,understand,comprehension,pone.0230442.s001.docx,42,placeholder,train,needs_review,
pone-row-fda11f1f7915eec0,pone-question-efa774371322c888,How can you describe _____________?,How can you describe _____________?,understand,comprehension,pone.0230442.s001.docx,43,placeholder,train,needs_review,
pone-row-e0d6003e9274f4d0,pone-question-3f25a2eeca1f5d41,How would you classify the type of ...?,How would you classify the type of ...?,understand,comprehension,pone.0230442.s001.docx,44,placeholder,train,needs_review,
pone-row-fa2525c9f47da6dc,pone-question-1f6473b661cd98c3,How can you explain what is meant ...?,How can you explain what is meant ...?,understand,comprehension,pone.0230442.s001.docx,45,placeholder,train,needs_review,
pone-row-bd276dcb10a0baac,pone-question-fac2b0e12741c591,Identify the key points in the text,Identify the key points in the text ,understand,comprehension,pone.0230442.s001.docx,47,missing_context,test,needs_review,
pone-row-361e65c7bfc7a0d0,pone-question-7117c3f03ef59240,Identify three mistakes from the passage and correct them.,Identify three mistakes from the passage and correct them.,understand,comprehension,pone.0230442.s001.docx,48,missing_context,train,needs_review,
pone-row-fa87c2e39375c3a4,pone-question-1c7be8d12f1cffe9,State in your own words ...,State in your own words ...,understand,comprehension,pone.0230442.s001.docx,49,placeholder,validation,needs_review,
pone-row-3e5c2c525b4f1916,pone-question-34ed6bd91aa832a9,State in one word ...,State in one word ...,understand,comprehension,pone.0230442.s001.docx,50,placeholder,validation,needs_review,
pone-row-099e21119a248df0,pone-question-2e79810c0579a071,Put in your own words...,Put in your own words…,understand,comprehension,pone.0230442.s001.docx,51,placeholder,train,needs_review,
pone-row-a111ed6325f9acd9,pone-question-e35bbf9112b58153,"In your own words, tell what the story is about.","In your own words, tell what the story is about.",understand,comprehension,pone.0230442.s001.docx,53,missing_context,train,needs_review,
pone-row-80aeec30cf8beafd,pone-question-64029a0d9c3567ec,Sketch a diagram which shows these fractions or take photographs of the fractions.,Sketch a diagram which shows these fractions or take photographs of the fractions. ,apply,application,pone.0230442.s001.docx,60,missing_context,validation,needs_review,
pone-row-92df2fa28f06973f,pone-question-e2a20ff6798ed159,Interpret the graph and state how many trees were cut down to produce paper.,Interpret the graph and state how many trees were cut down to produce paper.,apply,application,pone.0230442.s001.docx,62,missing_context,train,needs_review,
pone-row-8273dd05aea22a5b,pone-question-0f493b7604eefd14,Predict what would happen if ...,Predict what would happen if ...,apply,application,pone.0230442.s001.docx,64,placeholder,train,needs_review,
pone-row-e453833c8b815f73,pone-question-e11440ac7bdc931d,Draw an illustration of the linked list after the execution of each of the statement below. (Use the original illustration for each question).,Draw an illustration of the linked list after the execution of each of the statement below. (Use the original illustration for each question).,apply,application,pone.0230442.s001.docx,69,missing_context,train,needs_review,
pone-row-187836e56189b00a,pone-question-d164b309c005f36c,Choose the best statements that apply ...,Choose the best statements that apply ...,apply,application,pone.0230442.s001.docx,72,placeholder,train,needs_review,
pone-row-f441c496f29c4fe4,pone-question-724cf226e46a7761,Analyze the selected information.,Analyze the selected information.,analyze,analysis,pone.0230442.s001.docx,76,missing_context,train,needs_review,
pone-row-aca554d87b81d95a,pone-question-81c4fc6bd1bf11c5,Can you discriminate the difference parts . . . ?,Can you discriminate the difference parts . . . ? ,analyze,analysis,pone.0230442.s001.docx,77,possible_language_error,train,needs_review,
pone-row-528c938b878985a6,pone-question-6614829b4f880ac1,Discriminate the pros and cons of ____.,Discriminate the pros and cons of ____.,analyze,analysis,pone.0230442.s001.docx,78,placeholder,train,needs_review,
pone-row-b81988be9a908332,pone-question-aa19f104e2e6d199,Analyze the following questionnaire.,Analyze the following questionnaire. ,analyze,analysis,pone.0230442.s001.docx,79,missing_context,validation,needs_review,
pone-row-edc10c19ec759096,pone-question-db0e21a30e71b032,How can you categorize ____ according to...?,How can you categorize ____ according to...?,analyze,analysis,pone.0230442.s001.docx,80,placeholder,train,needs_review,
pone-row-6dcb35c2dd0feb03,pone-question-88bd3b78211f2758,How can you distinguish the different parts of_____?,How can you distinguish the different parts of_____?,analyze,analysis,pone.0230442.s001.docx,81,placeholder,train,needs_review,
pone-row-eabc822662824d8d,pone-question-5d886529d0862678,How can you differentiate between...?,How can you differentiate between...?,analyze,analysis,pone.0230442.s001.docx,82,placeholder,test,needs_review,
pone-row-58ae03c870c9219a,pone-question-64c742c7a05ed182,"Discriminate the different parts of the story (introduction, development, climax, resolution.)","Discriminate the different parts of the story (introduction, development, climax, resolution.)",analyze,analysis,pone.0230442.s001.docx,83,missing_context,validation,needs_review,
pone-row-176702ef63db4069,pone-question-f069a896252826dd,Categorize the story into parts and think of a good title for each of the parts.,Categorize the story into parts and think of a good title for each of the parts.,analyze,analysis,pone.0230442.s001.docx,85,missing_context,test,needs_review,
pone-row-82b9bba209d827d9,pone-question-364237ad758ff937,"Trace the contents of matrix from the following statements int matrix[3][2];int j, k;for (j = 0; j < 3; j++)for (k =h 0; k < 2; k++)matrik[j][k] = j + k;","Trace the contents of matrix from the following statements int matrix[3][2];int j, k;for (j = 0; j < 3; j++)for (k =h 0; k < 2; k++)matrik[j][k] = j + k;",analyze,analysis,pone.0230442.s001.docx,87,missing_context,test,needs_review,
pone-row-1744a6d299d5d7ed,pone-question-0b7ddf107e881796,Trace the value of alpha after the following code executes. int alpha[5];int j;alpha[0] = 5;for (j = 1; j < 5; j++){if(j % 2 == 0)alpha[j] = alpha[j – 1] + 2;else alpha[j] = alpha[j – 1] + 3;},Trace the value of alpha after the following code executes. int alpha[5];int j;alpha[0] = 5;for (j = 1; j < 5; j++){if(j % 2 == 0)alpha[j] = alpha[j – 1] + 2;else alpha[j] = alpha[j – 1] + 3;},analyze,analysis,pone.0230442.s001.docx,88,missing_context,train,needs_review,
pone-row-ab34eaf083dd981d,pone-question-81f808af85e3a9cd,What distinctions can be made about...and...?,What distinctions can be made about...and...?,analyze,analysis,pone.0230442.s001.docx,89,placeholder,train,needs_review,
pone-row-5a42b3691f76de15,pone-question-380c649b6858fd4e,What is the analysis of ______________?,What is the analysis of ______________?,analyze,analysis,pone.0230442.s001.docx,91,placeholder,test,needs_review,
pone-row-571a79aa9d2a680d,pone-question-2fe65a0a60aff283,Draw a diagram to show the memory configuration after the following statements ....,Draw a diagram to show the memory configuration after the following statements .... ,analyze,analysis,pone.0230442.s001.docx,92,placeholder|missing_context,train,needs_review,
pone-row-5a09bac3ec514647,pone-question-56dc2f2c733bc7ec,What evidence can you list for...,What evidence can you list for...,analyze,analysis,pone.0230442.s001.docx,98,placeholder,train,needs_review,
pone-row-7e4b9209de707dfe,pone-question-f044596a7e381be6,Can you develop method to handle the following case . . . ?,Can you develop method to handle the following case . . . ? ,create,synthesis,pone.0230442.s001.docx,103,missing_context,train,needs_review,
pone-row-772d62a634836371,pone-question-85591355555b761c,"Design a record, book or magazine cover for...","Design a record, book or magazine cover for...",create,synthesis,pone.0230442.s001.docx,109,placeholder,test,needs_review,
pone-row-0cc31a0aa58f5f26,pone-question-141404606e0a5cf7,Create several scientific hypotheses to ...,Create several scientific hypotheses to …,create,synthesis,pone.0230442.s001.docx,111,placeholder,train,needs_review,
pone-row-933bc1a8eb24c92b,pone-question-7eb5db9479b67aad,Propose an alternative way to solve ...,Propose an alternative way to solve …  ,create,synthesis,pone.0230442.s001.docx,112,placeholder,train,needs_review,
pone-row-cfa88ac62f0e033d,pone-question-928feb3b8469b37d,Rewrite the story from an animal’s point of view.,Rewrite the story from an animal’s point of view.,create,synthesis,pone.0230442.s001.docx,114,missing_context,test,needs_review,
pone-row-faae934a68873fbc,pone-question-ede78f4e1c67171c,"Rewrite the story briefly, but change someone or something in it. (For example, substitute a dog for a wolf in The Three Little Pigs).","Rewrite the story briefly, but change someone or something in it. (For example, substitute a dog for a wolf in The Three Little Pigs).",create,synthesis,pone.0230442.s001.docx,115,missing_context,train,needs_review,
pone-row-6786b595af20d3b1,pone-question-b98300b3d5266cbd,"Use your imagination to create a picture about the story. Then, add one new thing that was not in the story.","Use your imagination to create a picture about the story. Then, add one new thing that was not in the story.",create,synthesis,pone.0230442.s001.docx,116,missing_context,validation,needs_review,
pone-row-93a08e1c7a545bfd,pone-question-965c4c9aa074caf7,Write about your feelings in relation to...,Write about your feelings in relation to...,create,synthesis,pone.0230442.s001.docx,119,placeholder,test,needs_review,
pone-row-6bb191fccc5576b1,pone-question-2c07a39a780ac6d3,Write a poem about the story.,Write a poem about the story.,create,synthesis,pone.0230442.s001.docx,121,missing_context,train,needs_review,
pone-row-9d959d327a0519da,pone-question-8d95f155f20288f9,Write 5 new titles for the story that would give a good idea of what it was about,Write 5 new titles for the story that would give a good idea of what it was about,create,synthesis,pone.0230442.s001.docx,122,missing_context,test,needs_review,
pone-row-056cc004364bd851,pone-question-c5e99513e9ac1401,Write another ending to the story that is different from the author’s ending.,Write another ending to the story that is different from the author’s ending.,create,synthesis,pone.0230442.s001.docx,123,missing_context,test,needs_review,
pone-row-fbee092417335ecb,pone-question-97982326c54c1887,Write a program that uses nested loops to print the following output:,Write a program that uses nested loops to print the following output:,create,synthesis,pone.0230442.s001.docx,125,missing_context,test,needs_review,
pone-row-62c14ab28e4010e2,pone-question-10e51c1fea1665b1,Construct an alternative way to ...,Construct an alternative way to ...,create,synthesis,pone.0230442.s001.docx,128,placeholder,train,needs_review,
pone-row-00e207fb7be286f0,pone-question-e1e7ab85e5375fb9,Can you defend your position about ... ?,Can you defend your position about ... ?,evaluate,evaluation,pone.0230442.s001.docx,133,placeholder,train,needs_review,
pone-row-89603d339829c3a4,pone-question-7c014c5ee9b14821,Develop a proof ... and justify each step ...,Develop a proof ... and justify each step ... ,evaluate,evaluation,pone.0230442.s001.docx,136,placeholder,train,needs_review,
pone-row-c0b350841faed3b1,pone-question-eb2347be62fe43a6,Judge the value of... What do you think about...?,Judge the value of... What do you think about...?,evaluate,evaluation,pone.0230442.s001.docx,139,placeholder,train,needs_review,
pone-row-9b745f0a5a0f9cdf,pone-question-ffa6eb89f4ba4d22,"Prepare a case to present, and evaluate your view about ...","Prepare a case to present, and evaluate your view about ...",evaluate,evaluation,pone.0230442.s001.docx,144,placeholder,train,needs_review,
pone-row-e784ddc21d16761a,pone-question-be9d9dd5ccd1854c,Prepare a list of criteria to judge ... Evaluate expressions,Prepare a list of criteria to judge ... Evaluate expressions,evaluate,evaluation,pone.0230442.s001.docx,145,placeholder,train,needs_review,
pone-row-d5fe3141f94063a0,pone-question-d0567321f7d4f217,Rate the following recommendations and set the priority _____.,Rate the following recommendations and set the priority _____.,evaluate,evaluation,pone.0230442.s001.docx,146,placeholder|missing_context,validation,needs_review,
pone-row-ed77e7aed6a23d64,pone-question-f729d57aa0c4072e,What data was used to evaluate ____________?,What data was used to evaluate ____________?,evaluate,evaluation,pone.0230442.s001.docx,147,placeholder,train,needs_review,
pone-row-3d810b933a7eab3b,pone-question-1bbeafc123f4d8b6,What judgments can you make about...?,What judgments can you make about...? ,evaluate,evaluation,pone.0230442.s001.docx,148,placeholder,train,needs_review,
pone-row-1bb70e29b55521bd,pone-question-cd3c63246a384751,What criteria would you use to assess...?,What criteria would you use to assess...? ,evaluate,evaluation,pone.0230442.s001.docx,149,placeholder|exact_duplicate,train,needs_review,
pone-row-0ba46641d208cee7,pone-question-14973868598e7051,"Your advice has been sought to settle the following dispute in Company X. Referring to appropriate legal principles, write a short report advising the company on the best course of action to adopt.","Your advice has been sought to settle the following dispute in Company X. Referring to appropriate legal principles, write a short report advising the company on the best course of action to adopt.",evaluate,evaluation,pone.0230442.s001.docx,155,missing_context,train,needs_review,
pone-row-89713b3ba2c0e8c2,pone-question-fc4db31f6df23035,Correctly label the brain lobes indicated on the diagram below,Correctly label the brain lobes indicated on the diagram below,remember,knowledge,pone.0230442.s002.docx,3,missing_context,train,needs_review,
pone-row-f3d2acb450c05ac5,pone-question-f22683ff04b4569d,Define compound interest.,Define compound interest.,remember,knowledge,pone.0230442.s002.docx,4,very_short,validation,needs_review,
pone-row-f2254fb982000fad,pone-question-55b44728bfd2185d,Define mercantilism.,Define mercantilism.,remember,knowledge,pone.0230442.s002.docx,6,very_short,train,needs_review,
pone-row-a73de13751756e99,pone-question-0c157b5479c7bb91,Draw and label a diagram of a typical stream.,Draw and label a diagram of a typical stream.,remember,knowledge,pone.0230442.s002.docx,9,missing_context,train,needs_review,
pone-row-59c4d028eef0040a,pone-question-692c687902abbb63,Draw the block diagram of the central processing unit,Draw the block diagram of the central processing unit ,remember,knowledge,pone.0230442.s002.docx,11,missing_context,train,needs_review,
pone-row-1ae4b420dc3bf289,pone-question-6fe3a9b17f22f077,How much data can be stored in the cach memory,How much data can be stored in the cach memory,remember,knowledge,pone.0230442.s002.docx,18,possible_language_error,train,needs_review,
pone-row-fb5f88819e947eb8,pone-question-014769c72e1d3c32,How much time did he took to build a house,How much time did he took to build a house,remember,knowledge,pone.0230442.s002.docx,21,possible_language_error,train,needs_review,
pone-row-10a81132dbc18725,pone-question-a95a80b505f4c22f,Identify ordinal positions,Identify ordinal positions,remember,knowledge,pone.0230442.s002.docx,26,very_short,test,needs_review,
pone-row-3f4ff9aad006d581,pone-question-e012e2b8ac998882,Identify the part of a eukaryotic cell.,Identify the part of a eukaryotic cell.,remember,knowledge,pone.0230442.s002.docx,29,possible_language_error,test,needs_review,
pone-row-36925ad75734f665,pone-question-153770a4220105b0,Label the parts of the following insects: Grasshopper,Label the parts of the following insects: Grasshopper,remember,knowledge,pone.0230442.s002.docx,36,missing_context,train,needs_review,
pone-row-98b78accc7472b18,pone-question-e5afc3e11d8ba320,List four types of clauses mentioned in the article,List four types of clauses mentioned in the article,remember,knowledge,pone.0230442.s002.docx,38,missing_context,train,needs_review,
pone-row-b5a97b7a8efb7465,pone-question-0a657d91037ffcc0,List the procedure to draw a mixed potential or Evans' diagram,List the procedure to draw a mixed potential or Evans' diagram,remember,knowledge,pone.0230442.s002.docx,42,missing_context,train,needs_review,
pone-row-977a7cdfa6552fae,pone-question-58732a63c1b3e1e1,Make a list of facts you learned from the story.,Make a list of facts you learned from the story.,remember,knowledge,pone.0230442.s002.docx,47,missing_context,train,needs_review,
pone-row-4d46427df096643f,pone-question-319d154f84b86cd6,Name the main characters in the story.,Name the main characters in the story.,remember,knowledge,pone.0230442.s002.docx,52,missing_context,test,needs_review,
pone-row-1e35af755edbad84,pone-question-76eaee135ff80690,Please label the diagram below:,Please label the diagram below:,remember,knowledge,pone.0230442.s002.docx,54,missing_context,train,needs_review,
pone-row-73ad9c51370abaaf,pone-question-064356254dd69a89,Recall the following pictoral example of an implementation of some queue operations,Recall the following pictoral example of an implementation of some queue operations,remember,knowledge,pone.0230442.s002.docx,59,missing_context|possible_language_error,test,needs_review,
pone-row-1686fce570a5197b,pone-question-98d76a49c6671b4e,Recite the the Gaussian law,Recite the the Gaussian law,remember,knowledge,pone.0230442.s002.docx,64,possible_language_error,validation,needs_review,
pone-row-806d22ba635a6c91,pone-question-14156b13dce60863,What does ICT stands for.,What does ICT stands for.,remember,knowledge,pone.0230442.s002.docx,79,possible_language_error,validation,needs_review,
pone-row-ae175e8cd1327c19,pone-question-ff934b3655faafa8,Which of the following is the method for determining the volume of a cylinder?,Which of the following is the method for determining the volume of a cylinder?,remember,knowledge,pone.0230442.s002.docx,92,missing_context,validation,needs_review,
pone-row-7ae6945cc824dc4b,pone-question-8baef86ef4d42548,Which of the following item does not belong to the set ?,Which of the following item does not belong to the set ?,remember,knowledge,pone.0230442.s002.docx,93,missing_context,train,needs_review,
pone-row-604cc551c4a96e2b,pone-question-8e3999bcf0e37a7c,Describe in prose what is shown in graph form.,Describe in prose what is shown in graph form.,understand,comprehension,pone.0230442.s002.docx,111,missing_context,train,needs_review,
pone-row-85d9d262b0d17524,pone-question-c0142cf1ab26614f,Describe in your own words how to copy text from one program into another.,Describe in your own words how to copy text from one program into another.,understand,comprehension,pone.0230442.s002.docx,113,missing_context,train,needs_review,
pone-row-8735c22921d38cfe,pone-question-351beced23910de2,Describe what happened at...?,Describe what happened at...?,understand,comprehension,pone.0230442.s002.docx,123,placeholder,train,needs_review,
pone-row-b764eede700769d4,pone-question-21012a40ea7232b7,From a blueprint to describe the article depicted.,From a blueprint to describe the article depicted.,understand,comprehension,pone.0230442.s002.docx,140,missing_context,validation,needs_review,
pone-row-1e22beb534c36935,pone-question-3210587cc1861c51,"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.","Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",understand,comprehension,pone.0230442.s002.docx,141,missing_context,train,needs_review,
pone-row-f6173e17cf478a6f,pone-question-547a0c8ca7a9404f,In one sentence explain the main idea of a written passage.,In one sentence explain the main idea of a written passage.,understand,comprehension,pone.0230442.s002.docx,145,missing_context,test,needs_review,
pone-row-fe1ae757ae7b6603,pone-question-0cf50315a40b49bb,In one sentence illustrate the main point of a written passage.,In one sentence illustrate the main point of a written passage.,understand,comprehension,pone.0230442.s002.docx,146,missing_context,test,needs_review,
pone-row-4c6a2cd979b9f386,pone-question-38179c4afbfba467,Interpret the pictures.,Interpret the pictures.,understand,comprehension,pone.0230442.s002.docx,147,very_short,validation,needs_review,
pone-row-c1dc56a8dd26a4c2,pone-question-2d5ce932f4494b7e,"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification","Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",understand,comprehension,pone.0230442.s002.docx,159,missing_context,train,needs_review,
pone-row-c9148a9c3416bcf1,pone-question-541a7f429b51b36d,"Classify the following substances as particle, atom, element, molecule, compound","Classify the following substances as particle, atom, element, molecule, compound",understand,comprehension,pone.0230442.s002.docx,160,missing_context,test,needs_review,
pone-row-0939f5a39154906a,pone-question-250afa38943a43e1,Restate main idea of story in own words.,Restate main idea of story in own words.,understand,comprehension,pone.0230442.s002.docx,165,missing_context,train,needs_review,
pone-row-e21e9766e6c95522,pone-question-ce53d527be565419,Retell the story in your words.,Retell the story in your words.,understand,comprehension,pone.0230442.s002.docx,167,missing_context,train,needs_review,
pone-row-3b26ff24dd4234e6,pone-question-18d2c8fbeb26b6b3,"Rewrite the sentence in your head, following the direction given below","Rewrite the sentence in your head, following the direction given below",understand,comprehension,pone.0230442.s002.docx,171,missing_context,train,needs_review,
pone-row-e8162df13e8520ed,pone-question-6ed7080767120dc9,Select the best title for a passage,Select the best title for a passage,understand,comprehension,pone.0230442.s002.docx,173,missing_context,train,needs_review,
pone-row-bfaba0ce93c98de2,pone-question-4978bcc5450fb0b2,Summarize a story in own words.,Summarize a story in own words.,understand,comprehension,pone.0230442.s002.docx,179,missing_context,train,needs_review,
pone-row-863c626f22b453aa,pone-question-964392f7d1e74efb,Summarize this magazine article.,Summarize this magazine article.,understand,comprehension,pone.0230442.s002.docx,183,missing_context,train,needs_review,
pone-row-917f81b1ad3b994b,pone-question-04a23612cc2c43ff,Tell in your own words how the setting of the story made it more interesting.,Tell in your own words how the setting of the story made it more interesting.,understand,comprehension,pone.0230442.s002.docx,185,missing_context,train,needs_review,
pone-row-06ee6cf52717b0a7,pone-question-cc9d2281e97294f4,Translate a written text aloud from L2 to English.,Translate a written text aloud from L2 to English.,understand,comprehension,pone.0230442.s002.docx,189,missing_context,train,needs_review,
pone-row-eeed89a93fc938d8,pone-question-7af82bb28e8d7a71,Translate the following passage from The Iliad into English.,Translate the following passage from The Iliad into English.,understand,comprehension,pone.0230442.s002.docx,192,missing_context,train,needs_review,
pone-row-d461c9fed9f9533b,pone-question-f8c4900911a68042,Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel.,Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel.  ,understand,comprehension,pone.0230442.s002.docx,193,missing_context,validation,needs_review,
pone-row-ee33193501a177b5,pone-question-fcc1ee83dd9d06b0,Express the following systems in matrix form,Express the following systems in matrix form,understand,comprehension,pone.0230442.s002.docx,199,missing_context,validation,needs_review,
pone-row-4edec6c7f4004465,pone-question-075e0febabfa4b73,Express the following percentages as fractions in simplest form,Express the following percentages as fractions in simplest form,understand,comprehension,pone.0230442.s002.docx,200,missing_context,train,needs_review,
pone-row-250d93de87616218,pone-question-32ed763b77553e50,"In your own words, how would you summarize the story up","In your own words, how would you summarize the story up ",understand,comprehension,pone.0230442.s002.docx,202,missing_context,test,needs_review,
pone-row-b15465e608c0b992,pone-question-371212ba600d2cb8,Apply the storytelling technique here to a little story of your own.,Apply the storytelling technique here to a little story of your own.,apply,application,pone.0230442.s002.docx,215,missing_context,validation,needs_review,
pone-row-93cb9bf53260e8d5,pone-question-382e3ad0a8142c99,Calculate for x in the following equation: 12x=36,Calculate for x in the following equation: 12x=36,apply,application,pone.0230442.s002.docx,218,missing_context,train,needs_review,
pone-row-bdb5158a6bdeacb3,pone-question-5135ff6729a050b7,"Draw 3 pictures showing the beginning, middle and ending of the story.","Draw 3 pictures showing the beginning, middle and ending of the story.",apply,application,pone.0230442.s002.docx,238,missing_context,validation,needs_review,
pone-row-93adaddc913fe96d,pone-question-597139c95d09fff8,Draw a picture of the bears' house.,Draw a picture of the bears' house.,apply,application,pone.0230442.s002.docx,239,missing_context,train,needs_review,
pone-row-68935bbb64811f06,pone-question-b469c3e7759b6076,Draw a picture of the gown Cinderella wore to the ball.,Draw a picture of the gown Cinderella wore to the ball.,apply,application,pone.0230442.s002.docx,240,missing_context,train,needs_review,
pone-row-07cc90e486d06357,pone-question-3d581d32eb3b969e,Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,apply,application,pone.0230442.s002.docx,256,missing_context,test,needs_review,
pone-row-c4255d7f2586687a,pone-question-f46f7ffc3edc497d,Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,apply,application,pone.0230442.s002.docx,260,missing_context,train,needs_review,
pone-row-c17b77b0c9b449c1,pone-question-c792eaf612939184,Use Laplace to solve the following problems,Use Laplace to solve the following problems,apply,application,pone.0230442.s002.docx,262,missing_context,train,needs_review,
pone-row-be6393493f5ebd63,pone-question-64b99b76edf36695,Can you solve the following problem,Can you solve the following problem ,apply,application,pone.0230442.s002.docx,263,missing_context,train,needs_review,
pone-row-4db50320457df65f,pone-question-b7a0addd93155866,Specify the thickness of a galvanized coating based on atmospheric data? (level 2),Specify the thickness of a galvanized coating based on atmospheric data? (level 2) ,apply,application,pone.0230442.s002.docx,265,exact_duplicate,train,needs_review,
pone-row-141f4c4160f1c0e6,pone-question-b7a0addd93155866,Specify the thickness of a galvanized coating based on atmospheric data? (level 2),Specify the thickness of a galvanized coating based on atmospheric data? (level 2) ,apply,application,pone.0230442.s002.docx,266,exact_duplicate,train,needs_review,
pone-row-443a36b026874264,pone-question-cff46ab52058ca41,sketch a graph of velocity versus time for the upward and downward parts of a ball’s flight, sketch a graph of velocity versus time for the upward and downward parts of a ball’s flight,apply,application,pone.0230442.s002.docx,281,missing_context,validation,needs_review,
